Common Name,Address,Website,Longitude,Latitude,Location
Angel Morgan,42ND AVE S & S MORGAN ST,http://www.seattle.gov/neighborhoods/ppatch/locations/51.htm,-122.281012,47.544212,"(47.544212, -122.281012)"
Beacon Bluff,S MASSACHUSETTS ST & 15TH AVE S,http://www.seattle.gov/neighborhoods/ppatch/locations/46.htm,-122.31412,47.588471,"(47.588471, -122.31412)"
Belltown,ELLIOTT AVE & VINE ST,http://www.seattle.gov/neighborhoods/ppatch/locations/27.htm,-122.350958,47.614005,"(47.614005, -122.350958)"
Bradner Gardens,29TH AVE S & S GRAND ST,http://www.seattle.gov/neighborhoods/ppatch/locations/22.htm,-122.295444,47.587068,"(47.587068, -122.295444)"
Burke-Gilman Gardens,5200 MITHUN PL NE,http://www.seattle.gov/neighborhoods/ppatch/locations/6.htm,-122.280758,47.668034,"(47.668034, -122.280758)"
Cascade,MINOR AVE N & THOMAS ST,http://www.seattle.gov/neighborhoods/ppatch/locations/33.htm,-122.33261,47.620972,"(47.620972, -122.33261)"
Courtland Place,S SPOKANE ST & 36TH AVE S,http://www.seattle.gov/neighborhoods/ppatch/locations/40.htm,-122.288553,47.571574,"(47.571574, -122.288553)"
Delridge,5078 25TH AVE SW,http://www.seattle.gov/neighborhoods/ppatch/locations/16.htm,-122.363958,47.555141,"(47.555141, -122.363958)"
Eastlake,2900 FAIRVIEW AVE E,http://www.seattle.gov/neighborhoods/ppatch/locations/12.htm,-122.325371,47.647481,"(47.647481, -122.325371)"
Evanston,EVANSTON AVE N & N 102ND ST,http://www.seattle.gov/neighborhoods/ppatch/locations/3.htm,-122.350726,47.702559,"(47.702559, -122.350726)"
Ferdinand,COLUMBIA DR S & S FERDINAND ST,http://www.seattle.gov/neighborhoods/ppatch/locations/15.htm,-122.305883,47.557433,"(47.557433, -122.305883)"
Good Shepherd,BAGLEY AVE N & N 47TH ST,http://www.seattle.gov/neighborhoods/ppatch/locations/9.htm,-122.33225,47.663356,"(47.663356, -122.33225)"
Greenwood,343 NW 88TH ST,http://www.seattle.gov/neighborhoods/ppatch/locations/35.htm,-122.362103,47.692547,"(47.692547, -122.362103)"
Gregs Garden,14TH AVE NW & NW 54TH ST,http://www.seattle.gov/neighborhoods/ppatch/locations/38.htm,-122.373876,47.667706,"(47.667706, -122.373876)"
